日期/时间,睡眠分析 [Total] (hr),静息心率 (count/min)
2024-12-05 00:00:00,5.541666666666666,58.0
2024-12-06 00:00:00,5.008333333333334,55.0
2024-12-07 00:00:00,7.708333333333334,58.0
2024-12-08 00:00:00,5.291666666666667,53.0
2024-12-09 00:00:00,6.091666666666667,52.0
2024-12-10 00:00:00,5.291666666666666,56.0
2024-12-11 00:00:00,4.141666666666667,58.0
2024-12-12 00:00:00,5.066666666666666,52.0
2024-12-13 00:00:00,5.658333333333332,49.0
2024-12-14 00:00:00,5.525,54.0
2024-12-15 00:00:00,5.083333333333334,52.0
2024-12-16 00:00:00,6.783333333333333,52.0
2024-12-17 00:00:00,6.841666666666667,45.0
2024-12-18 00:00:00,5.583333333333333,52.0
2024-12-19 00:00:00,5.833333333333333,53.0
2024-12-20 00:00:00,5.591666666666667,42.0
2024-12-21 00:00:00,6.166666666666666,52.0
2024-12-22 00:00:00,4.191666666666666,66.0
2024-12-23 00:00:00,4.358333333333333,47.0
2024-12-24 00:00:00,7.975,53.0
2024-12-25 00:00:00,4.958333333333333,52.0
2024-12-26 00:00:00,5.4,54.0
2024-12-27 00:00:00,6.558333333333334,54.0
2024-12-28 00:00:00,6.366666666666667,52.0
2024-12-29 00:00:00,5.966666666666667,55.0
2024-12-30 00:00:00,5.933333333333334,52.0
2024-12-31 00:00:00,4.425,53.0
2025-01-01 00:00:00,3.0166666666666666,51.0
2025-01-02 00:00:00,7.7,54.0
2025-01-03 00:00:00,5.75,54.0
2025-01-04 00:00:00,7.333333333333334,59.0
2025-01-05 00:00:00,3.708333333333333,63.0
2025-01-06 00:00:00,6.916666666666667,69.0
2025-01-07 00:00:00,6.35,60.0
2025-01-08 00:00:00,7.633333333333333,54.0
2025-01-09 00:00:00,7.683333333333334,52.0
2025-01-10 00:00:00,4.108333333333333,48.0
2025-01-11 00:00:00,8.625,52.0
2025-01-12 00:00:00,6.458333333333332,52.0
2025-01-13 00:00:00,5.908333333333333,52.0
2025-01-14 00:00:00,7.824999999999999,60.0
2025-01-15 00:00:00,6.608333333333333,52.0
2025-01-16 00:00:00,6.866666666666665,46.0
2025-01-17 00:00:00,6.175,52.0
2025-01-18 00:00:00,7.233333333333332,49.0
2025-01-19 00:00:00,5.233333333333333,48.0
2025-01-20 00:00:00,7.425000000000001,48.0
2025-01-21 00:00:00,6.708333333333332,45.0
2025-01-22 00:00:00,4.824999999999999,45.0
2025-01-23 00:00:00,5.766666666666666,46.0
2025-01-24 00:00:00,5.508333333333333,45.0
2025-01-25 00:00:00,7.983333333333332,44.0
2025-01-26 00:00:00,6.4659,42.0
2025-01-27 00:00:00,4.483333333333333,47.0
2025-01-28 00:00:00,6.158333333333333,53.0
2025-01-29 00:00:00,5.25,53.0
2025-01-30 00:00:00,6.366666666666666,58.0
2025-01-31 00:00:00,6.416666666666666,47.0
2025-02-01 00:00:00,6.4659,60.0
2025-02-02 00:00:00,6.141666666666667,54.0
2025-02-03 00:00:00,8.283333333333335,58.0
2025-02-04 00:00:00,6.141666666666667,53.0
2025-02-05 00:00:00,6.4659,53.6909
2025-02-06 00:00:00,6.4659,53.6909
2025-02-07 00:00:00,6.4659,59.0
2025-02-08 00:00:00,6.4659,61.0
2025-02-09 00:00:00,7.183333333333334,49.0
2025-02-10 00:00:00,8.541666666666666,46.0
2025-02-11 00:00:00,6.183333333333334,47.0
2025-02-12 00:00:00,6.191666666666666,44.0
2025-02-13 00:00:00,7.549999999999999,45.0
2025-02-14 00:00:00,7.016666666666667,45.0
2025-02-15 00:00:00,7.3,43.0
2025-02-16 00:00:00,6.841666666666667,43.0
2025-02-17 00:00:00,7.5,41.0
2025-02-18 00:00:00,6.308333333333334,42.0
2025-02-19 00:00:00,8.15,47.0
2025-02-20 00:00:00,6.4659,55.0
2025-02-21 00:00:00,6.575000000000001,45.0
2025-02-22 00:00:00,6.566666666666666,42.0
2025-02-23 00:00:00,5.241666666666667,42.0
2025-02-24 00:00:00,6.825000000000001,66.0
2025-02-25 00:00:00,6.4659,59.0
2025-02-26 00:00:00,8.566666666666666,54.0
2025-02-27 00:00:00,6.9750000000000005,52.0
2025-02-28 00:00:00,6.175000000000002,60.0
2025-03-01 00:00:00,6.5,47.0
2025-03-02 00:00:00,9.891666666666666,51.0
2025-03-03 00:00:00,6.908333333333333,47.0
2025-03-04 00:00:00,9.316666666666666,48.0
2025-03-05 00:00:00,6.641666666666667,49.0
2025-03-06 00:00:00,9.583333333333332,46.0
2025-03-07 00:00:00,6.516666666666667,60.0
2025-03-08 00:00:00,7.15,49.0
2025-03-09 00:00:00,6.3,51.0
2025-03-10 00:00:00,6.758333333333333,49.0
2025-03-11 00:00:00,7.233333333333334,55.0
2025-03-12 00:00:00,6.658333333333332,52.0
2025-03-13 00:00:00,6.9,52.0
2025-03-14 00:00:00,7.608333333333333,51.0
2025-03-15 00:00:00,5.266666666666667,59.0
2025-03-16 00:00:00,6.758333333333333,59.0
2025-03-17 00:00:00,5.75,42.0
2025-03-18 00:00:00,5.916666666666667,58.0
2025-03-19 00:00:00,6.483333333333333,63.0
2025-03-20 00:00:00,6.308333333333334,59.0
2025-03-21 00:00:00,5.833333333333335,61.0
2025-03-22 00:00:00,6.0,62.0
2025-03-23 00:00:00,5.183333333333334,55.0
2025-03-24 00:00:00,5.658333333333333,59.0
2025-03-25 00:00:00,5.416666666666667,58.0
2025-03-26 00:00:00,6.208333333333333,62.0
2025-03-27 00:00:00,7.383333333333333,52.0
2025-03-28 00:00:00,6.4659,57.0
2025-03-29 00:00:00,5.5,54.0
2025-03-30 00:00:00,8.475000000000001,52.0
2025-03-31 00:00:00,7.35,52.0
2025-04-01 00:00:00,6.983333333333333,53.0
2025-04-02 00:00:00,5.5,54.0
2025-04-03 00:00:00,6.616666666666667,53.0
2025-04-04 00:00:00,5.308333333333334,54.0
2025-04-05 00:00:00,6.133333333333333,54.0
2025-04-06 00:00:00,6.3838,54.0
2025-04-07 00:00:00,7.283333333333335,53.0
2025-04-08 00:00:00,6.3838,52.0
2025-04-09 00:00:00,5.458333333333334,59.0
2025-04-10 00:00:00,8.583333333333334,59.0
2025-04-11 00:00:00,6.641666666666668,59.0
2025-04-12 00:00:00,5.283333333333333,52.0
2025-04-13 00:00:00,6.7,55.0
2025-04-14 00:00:00,7.533333333333333,66.0
2025-04-15 00:00:00,6.058333333333333,62.0
2025-04-16 00:00:00,5.683333333333333,54.0
2025-04-17 00:00:00,8.233333333333333,52.0
2025-04-18 00:00:00,4.933333333333334,51.0
2025-04-19 00:00:00,7.625,52.0
2025-04-20 00:00:00,6.700000000000001,57.0
2025-04-21 00:00:00,9.741666666666667,54.0
2025-04-22 00:00:00,5.991666666666667,55.0
2025-04-23 00:00:00,5.825,54.0
2025-04-24 00:00:00,5.125,54.0
2025-04-25 00:00:00,6.333333333333334,61.0
2025-04-26 00:00:00,6.525,54.0
2025-04-27 00:00:00,3.5083333333333337,54.0
2025-04-28 00:00:00,6.408333333333333,60.0
2025-04-29 00:00:00,3.991666666666666,63.0
2025-04-30 00:00:00,7.291666666666668,60.0
2025-05-01 00:00:00,7.475,54.0
2025-05-02 00:00:00,11.091666666666669,60.0
2025-05-03 00:00:00,6.425000000000001,58.0
2025-05-04 00:00:00,8.758333333333333,54.0
2025-05-05 00:00:00,9.408333333333337,53.0
2025-05-06 00:00:00,6.7333333333333325,56.0
2025-05-07 00:00:00,6.791666666666667,54.0
2025-05-08 00:00:00,7.975,53.0
2025-05-09 00:00:00,4.708333333333334,57.0
2025-05-10 00:00:00,7.733333333333332,55.0
2025-05-11 00:00:00,7.425,54.0
2025-05-12 00:00:00,5.975,61.0
2025-05-13 00:00:00,8.025,47.0
2025-05-14 00:00:00,7.483333333333332,53.0
2025-05-15 00:00:00,6.991666666666666,57.0
2025-05-16 00:00:00,7.441666666666666,56.0
2025-05-17 00:00:00,7.358333333333333,56.0
2025-05-18 00:00:00,3.383333333333333,63.0
2025-05-19 00:00:00,4.958333333333333,59.0
2025-05-20 00:00:00,7.041666666666666,55.0
2025-05-21 00:00:00,7.85,64.0
2025-05-22 00:00:00,5.016666666666667,63.0
2025-05-23 00:00:00,5.65,62.0
2025-05-24 00:00:00,6.741666666666666,70.0
2025-05-25 00:00:00,4.4,61.0
2025-05-26 00:00:00,6.983333333333333,67.0
2025-05-27 00:00:00,6.3838,61.0
2025-05-28 00:00:00,6.208333333333334,60.0
2025-05-29 00:00:00,6.275,67.0
2025-05-30 00:00:00,3.791666666666667,57.0
2025-05-31 00:00:00,8.858333333333334,63.0
2025-06-01 00:00:00,9.691666666666666,52.0
2025-06-02 00:00:00,5.341666666666667,55.0
2025-06-03 00:00:00,6.075000000000002,54.5
2025-06-04 00:00:00,4.95,63.0
2025-06-05 00:00:00,8.633333333333333,58.0
2025-06-06 00:00:00,4.958333333333334,55.0
2025-06-07 00:00:00,6.675,58.0
2025-06-08 00:00:00,5.5,62.0
2025-06-09 00:00:00,7.425,57.0
2025-06-10 00:00:00,6.983333333333333,49.0
2025-06-11 00:00:00,8.25,55.0
2025-06-12 00:00:00,6.499999999999999,53.0
2025-06-13 00:00:00,6.3838,52.0
2025-06-14 00:00:00,9.133333333333336,56.0
2025-06-15 00:00:00,7.483333333333332,50.0
2025-06-16 00:00:00,6.766666666666668,46.0
2025-06-17 00:00:00,6.158333333333333,53.0
2025-06-18 00:00:00,5.675,58.0
2025-06-19 00:00:00,5.333333333333333,52.0
2025-06-20 00:00:00,7.383333333333334,60.0
2025-06-21 00:00:00,9.166666666666668,54.0
2025-06-22 00:00:00,6.5,55.0
2025-06-23 00:00:00,3.908333333333333,48.0
2025-06-24 00:00:00,8.541666666666668,50.0
2025-06-25 00:00:00,6.566666666666667,53.0
2025-06-26 00:00:00,8.633333333333333,53.0
2025-06-27 00:00:00,7.6,54.0
2025-06-28 00:00:00,8.141666666666666,52.0
2025-06-29 00:00:00,6.533333333333332,62.0
2025-06-30 00:00:00,6.225,60.0
2025-07-01 00:00:00,9.316666666666666,58.0
2025-07-02 00:00:00,4.266666666666666,57.0
2025-07-03 00:00:00,7.883333333333333,61.0
2025-07-04 00:00:00,7.858333333333334,54.0
2025-07-05 00:00:00,6.75,55.0
2025-07-06 00:00:00,9.308333333333334,58.0
2025-07-07 00:00:00,5.741666666666666,59.0
2025-07-08 00:00:00,7.25,73.0
2025-07-09 00:00:00,5.9,52.0
2025-07-10 00:00:00,8.883333333333333,53.0
2025-07-11 00:00:00,8.708333333333332,48.0
2025-07-12 00:00:00,8.674999999999999,51.0
2025-07-13 00:00:00,6.958333333333333,50.0
2025-07-14 00:00:00,6.8583333333333325,63.0
2025-07-15 00:00:00,6.558333333333334,52.0
2025-07-16 00:00:00,7.6916666666666655,52.0
2025-07-17 00:00:00,7.658333333333333,54.0
2025-07-18 00:00:00,4.108333333333333,58.0
2025-07-19 00:00:00,8.216666666666669,54.0
2025-07-20 00:00:00,5.775,66.0
2025-07-21 00:00:00,6.3838,52.0
2025-07-22 00:00:00,5.275,56.0
2025-07-23 00:00:00,10.433333333333334,47.0
2025-07-24 00:00:00,7.558333333333334,58.0
2025-07-25 00:00:00,6.025,54.0
2025-07-26 00:00:00,4.333333333333333,67.0
2025-07-27 00:00:00,6.6083333333333325,52.0
2025-07-28 00:00:00,5.25,61.0
2025-07-29 00:00:00,8.383333333333333,57.0
2025-07-30 00:00:00,5.716666666666667,64.0
2025-07-31 00:00:00,8.875,54.0
2025-08-01 00:00:00,4.7,49.0
2025-08-02 00:00:00,6.858333333333333,59.0
2025-08-03 00:00:00,5.141666666666666,67.0
2025-08-04 00:00:00,8.191666666666666,66.0
2025-08-05 00:00:00,4.966666666666667,54.0
2025-08-06 00:00:00,9.225,63.0
2025-08-07 00:00:00,6.266666666666668,61.0
2025-08-08 00:00:00,7.083333333333334,57.0
2025-08-09 00:00:00,6.05,63.0
2025-08-10 00:00:00,6.491666666666668,59.0
2025-08-11 00:00:00,7.966666666666667,54.0
2025-08-12 00:00:00,4.266666666666667,59.0
2025-08-13 00:00:00,7.708333333333334,53.0
